DateTime,Temp (deg),EC@25 (uS/cm),SensorID
28/04/2025 14:48,16.09,1229,Odyssey15013
28/04/2025 12:51,16.45,1902,Odyssey15014
28/04/2025 12:48,15.57,1264,Odyssey15013
28/04/2025 10:51,15.92,1913,Odyssey15014
28/04/2025 10:48,15.44,1295,Odyssey15013
28/04/2025 8:51,15.64,1909,Odyssey15014
28/04/2025 8:48,15.47,1316,Odyssey15013
28/04/2025 6:51,15.71,1936,Odyssey15014
28/04/2025 6:48,15.59,1309,Odyssey15013
28/04/2025 4:51,15.8,2031,Odyssey15014
28/04/2025 4:48,15.7,1298,Odyssey15013
28/04/2025 2:51,15.94,2068,Odyssey15014
28/04/2025 2:48,15.85,1298,Odyssey15013
28/04/2025 0:51,16.18,2105,Odyssey15014
28/04/2025 0:48,16.08,1329,Odyssey15013
27/04/2025 22:51,16.43,2119,Odyssey15014
27/04/2025 22:48,16.45,1409,Odyssey15013
27/04/2025 20:51,16.84,2135,Odyssey15014
27/04/2025 20:48,16.75,1419,Odyssey15013
27/04/2025 18:51,17.4,2129,Odyssey15014
27/04/2025 18:48,17.03,1329,Odyssey15013
27/04/2025 16:51,17.86,2075,Odyssey15014
27/04/2025 16:48,17.23,1236,Odyssey15013
27/04/2025 14:51,17.54,2045,Odyssey15014
27/04/2025 14:48,16.31,1205,Odyssey15013
27/04/2025 12:51,16.66,2075,Odyssey15014
27/04/2025 12:48,15.77,1208,Odyssey15013
27/04/2025 10:51,16.01,2119,Odyssey15014
27/04/2025 10:48,15.25,1260,Odyssey15013
27/04/2025 8:51,15.84,2125,Odyssey15014
27/04/2025 8:48,15.59,1381,Odyssey15013
27/04/2025 6:51,16.01,2142,Odyssey15014
27/04/2025 6:48,15.71,1419,Odyssey15013
27/04/2025 4:51,16.14,2172,Odyssey15014
27/04/2025 4:48,15.95,1440,Odyssey15013
27/04/2025 2:51,16.28,2193,Odyssey15014
27/04/2025 2:48,16.08,1492,Odyssey15013
27/04/2025 0:51,16.53,2219,Odyssey15014
27/04/2025 0:48,16.65,1612,Odyssey15013
26/04/2025 22:51,16.75,2250,Odyssey15014
26/04/2025 22:48,16.66,1612,Odyssey15013
26/04/2025 20:51,17.02,2270,Odyssey15014
26/04/2025 20:48,17.04,1622,Odyssey15013
26/04/2025 18:51,17.53,2260,Odyssey15014
26/04/2025 18:48,17.24,1574,Odyssey15013
26/04/2025 16:51,17.64,2216,Odyssey15014
26/04/2025 16:48,17.05,1564,Odyssey15013
26/04/2025 14:51,17.43,2162,Odyssey15014
26/04/2025 14:48,16.76,1567,Odyssey15013
26/04/2025 12:51,17.05,2142,Odyssey15014
26/04/2025 12:48,16.68,1547,Odyssey15013
26/04/2025 10:51,16.77,2105,Odyssey15014
26/04/2025 10:48,16.63,1543,Odyssey15013
26/04/2025 8:51,16.58,2088,Odyssey15014
26/04/2025 8:48,16.51,1595,Odyssey15013
26/04/2025 6:51,16.61,2034,Odyssey15014
26/04/2025 6:48,16.66,1609,Odyssey15013
26/04/2025 4:51,16.72,2021,Odyssey15014
26/04/2025 4:48,16.78,1664,Odyssey15013
26/04/2025 2:51,16.91,2018,Odyssey15014
26/04/2025 2:48,17.02,1633,Odyssey15013
26/04/2025 0:51,17.09,2021,Odyssey15014
26/04/2025 0:48,17.1,1536,Odyssey15013
25/04/2025 22:51,17.25,2024,Odyssey15014
25/04/2025 22:48,17.2,1505,Odyssey15013
25/04/2025 20:51,17.37,2024,Odyssey15014
25/04/2025 20:48,17.25,1474,Odyssey15013
25/04/2025 18:51,17.48,2018,Odyssey15014
25/04/2025 18:48,17.36,1471,Odyssey15013
25/04/2025 16:51,17.53,2014,Odyssey15014
25/04/2025 16:48,17.45,1467,Odyssey15013
25/04/2025 14:51,17.47,2007,Odyssey15014
25/04/2025 14:48,17.6,1454,Odyssey15013
25/04/2025 12:51,17.47,2007,Odyssey15014
25/04/2025 12:48,17.59,1457,Odyssey15013
25/04/2025 10:51,17.08,2014,Odyssey15014
25/04/2025 10:48,17.12,1492,Odyssey15013
25/04/2025 8:51,16.98,2014,Odyssey15014
25/04/2025 8:48,16.98,1498,Odyssey15013
25/04/2025 6:51,17.12,2028,Odyssey15014
25/04/2025 6:48,17,1488,Odyssey15013
25/04/2025 4:51,17.24,2034,Odyssey15014
25/04/2025 4:48,17.13,1481,Odyssey15013
25/04/2025 2:51,17.36,2038,Odyssey15014
25/04/2025 2:48,17.26,1478,Odyssey15013
25/04/2025 0:51,17.52,2038,Odyssey15014
25/04/2025 0:48,17.43,1471,Odyssey15013
24/04/2025 22:51,17.73,2045,Odyssey15014
24/04/2025 22:48,17.68,1461,Odyssey15013
24/04/2025 20:51,17.97,2034,Odyssey15014
24/04/2025 20:48,18.05,1443,Odyssey15013
24/04/2025 18:51,18.12,2018,Odyssey15014
24/04/2025 18:48,18.3,1433,Odyssey15013
24/04/2025 16:51,17.83,2007,Odyssey15014
24/04/2025 16:48,18.38,1423,Odyssey15013
24/04/2025 14:51,17.35,2001,Odyssey15014
24/04/2025 14:48,18.01,1433,Odyssey15013
24/04/2025 12:51,16.77,2004,Odyssey15014
24/04/2025 12:48,17.49,1443,Odyssey15013
24/04/2025 10:51,16.36,2011,Odyssey15014
24/04/2025 10:48,16.63,1481,Odyssey15013
